ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
759,9/22/2020,2020,,Milcreek Township,PA,,,,Government Facilities,,,,,,,"$250,000 ",$1000000 or less,Yes,,Less than $250000,https://www.erienewsnow.com/story/42683939/millcreek-township-confirms-computer-system-hacked-erie-news-now-uncovers-township-hit-by-ransomware-attack?utm_medium=social&utm_source=facebook_Erie_News_Now,,
760,9/23/2020,2020,,Tyler Technologies,TX,,,,Information Technology,Government Facilities,RansomExx/defray,,,1 month or less,,,,Yes,,,https://krebsonsecurity.com/2020/09/govt-services-firm-tyler-technologies-hit-in-apparent-ransomware-attack/; https://www.bleepingcomputer.com/news/security/tyler-technologies-paid-ransomware-gang-for-decryption-key/,,
761,9/23/2020,2020,,Unnamed external cloud vendor,Unspecified,,,,Information Technology,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/vendor-ransomware-attack-exposes-patient-information-at-south-carolina-practice.html,,
762,9/25/2020,2020,,Kokomo-Howard Public Library,IN,,,,Government Facilities,,,,A few days,1 week or less,4 bitcoin,"$43,000",$50000 or less,Yes,Bitcoin,"3.36 bitcoin ($36,000)",http://kokomoperspective.com/kp/news/library-hit-with-ransomware-attack/article_aa2c67cc-6a4d-11eb-95f5-fb96634fb05e.html,,
763,9/26/2020,2020,,Arthur J Gallagher (AJG) (insurance brokerage and risk management firm),USA,,,,Financial Services,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-hits-us-based-arthur-j-gallagher-insurance-giant/,,
764,9/26/2020,2020,,Gallagher (Broker),USA,,,,Financial Services,,,,,,,,,,,,https://www.insurancenews.com.au/international/gallagher-hit-by-ransomware-attack,,
765,9/27/2020,2020,,Universal Health Services (UHS) Hospitals,USA,,,,Healthcare and Public Health,,Ryuk,S0446,3 weeks,1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/uhs-hospitals-hit-by-reported-country-wide-ryuk-ransomware-attack/; https://www.medicaleconomics.com/view/what-happens-if-the-affordable-care-act-is-overturned-part-1; https://patch.com/california/fremont/fremont-hospital-hit-ransomware-cyberattack; https://healthitsecurity.com/news/3-weeks-after-ransomware-attack-all-400-uhs-systems-back-online,,"Phishing likely as attack vector; four patients have died as an indirect result of the attack; includes Fremont Hospital (CA)
Recovery costs/lost revenue $67 million"
766,9/28/2020,2020,,"CMA CGM (french carrier, container line)",France,,,,Transportation Systems,,Ragnar Locker,S0481,,,,,,,,,https://gcaptain.com/shipping-giant-cma-cgm-hit-by-cyber-attack/,,
767,10/1/2020,2020,Oct-20,Daniel B. Hastings (Customs broker and freight forwarder) (Part of CPH Group),TX,,,,Transportation Systems,,Conti,S0575,,,,,,,,,https://www.freightwaves.com/news/ransomware-hackers-claims-attack-on-texas-customs-broker,,
768,10/1/2020,2020,Oct-20,E.W Wylie of Daseke Inc. (Trucking company),TX,,,,Transportation Systems,,Conti,S0575,,,,,,,,,https://www.freightwaves.com/news/truckers-personal-information-exposed-after-daseke-ransomware-attack,,
769,10/1/2020,2020,Oct-20,KYB Corporation,IN,,,,Critical Manufacturing,Transportation Systems,NetWalker,S0457,,,,,,,,,https://www.itwire.com/security/auto-equipment-maker-kyb-hit-by-windows-netwalker-ransomware.html,,
770,10/1/2020,2020,Oct-20,Beacon Health Solutions,FL,,,,Healthcare and Public Health,,Revil/sodinokibi,S0496,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Attackers are leaking data
771,10/1/2020,2020,Oct-20,Wilmington Surgical Associates,NC,,,,Healthcare and Public Health,,NetWalker,S0457,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Attackers claim to have stolen 13+ GB of data
772,10/1/2020,2020,Oct-20,Subsidiary of Shionogi & Co.,Japan and Taiwan,,,,Chemical,Healthcare and Public Health,,,,,,,,,,,https://www.japantimes.co.jp/news/2020/10/23/business/corporate-business/japan-shionogi-cyberattack-data-breach/,,
773,10/1/2020,2020,Oct-20,Hackney Council,UK,,,,Government Facilities,,Pysa/Mespinoza,,Several months,More than 1 month,,,,,,,https://www.computerweekly.com/news/252494466/Hackney-Council-data-leaked-by-Pysa-ransomware-gang,,
774,10/3/2020,2020,,Software AG,Germany,,,,Information Technology,,Clop,,,,,More than $20 million,More than $5000000,No,N/A,N/A,https://www.computerweekly.com/news/252490395/Software-AG-caught-in-double-extortion-ransomware-hit,,Clop began leaking data after not receiving payment
775,10/7/2020,2020,,Hall County,GA,,,,Government Facilities,,DoppelPaymer,,ongoing as of oct 23,,,,,,,,https://www.gainesvilletimes.com/news/government/hall-county-government-email-phone-services-down/; https://www.cnn.com/2020/10/22/tech/ransomware-election-georgia/index.html; https://gcn.com/articles/2020/10/26/ransomware-georgia-signature-database.aspx,,"The following systems were affected: voter signature database, voting precinct map, and other county functions. This attack occured a month before the 2020 Presidential Election. Resulted in time delay for verifying signatures"
776,10/10/2020,2020,,City of Mt. Pleasant,MI,,,,Government Facilities,,,,,1 day or less,,,,No,N/A,N/A,https://www.abc12.com/2020/10/12/mount-pleasant-digital-firewall-foils-ransomware-attack/,,
777,10/10/2020,2020,,Barnes & Noble,USA,,,,Commercial Facilities,,Egregor,,2 days,1 week or less,,,,,,,https://www.zdnet.com/article/barnes-noble-confirms-cyberattack-customer-data-breach/,,
778,10/10/2020,2020,,KEOLIS Commuter Services [operator of the Massachusetts Bay Transportation Authority (MBTA) commuter rail network],MA,,,,Transportation Systems,,,,,,,,,,,,https://www.railjournal.com/technology/keolis-commuter-services-takes-boston-systems-offline-following-ransomware-attack/,,
779,10/11/2020,2020,,Sonoma Valley Hospital,CA,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,No,N/A,N/A,https://www.sonomanews.com/article/news/sonoma-hospitals-security-incident-was-russian-ransomware-attack/?sba=AAS; https://www.pressdemocrat.com/article/news/sonoma-valley-hospital-hit-by-cybercriminals-with-ransomware-attack/?sba=AAS,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
780,10/15/2020,2020,,SN Servicing Corporation,CA,,,,Financial Services,,Egregor,,,,,,,No,N/A,N/A,https://thecybersecurity.news/general-cyber-security-news/mortgage-loan-servicing-company-discloses-ransomware-attack-to-multiple-states-5972/,,"Strain and pay status not confirmed, but the company is listed on egregor's leak site "
781,10/16/2020,2020,,Boyne Resorts,USA,,,,Commercial Facilities,,WastedLocker,,,,,,,,,,https://www.bleepingcomputer.com/news/security/wastedlocker-ransomware-hits-boyne-resorts-ski-resort-operator/,,
782,10/17/2020,2020,,Dickinson County Health,MI,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.hipaajournal.com/dickinson-county-health-suffers-ransomware-attack/; https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
783,10/17/2020,2020,,Chenango County,NY,,,,Government Facilities,,,,,,,,,,,,https://www.nbcnews.com/politics/2020-election/live-blog/2020-10-24-trump-biden-election-n1244363/ncrd1244650#liveBlogHeader,,"County email systems were infected, resulting in some absentee ballot registrations to not properly register"
784,10/19/2020,2020,,City of Shafter,CA,,,,Government Facilities,,,,,,,,,,,,https://www.turnto23.com/news/local-news/city-of-shafter-hit-with-ransomware-attack,,
785,10/19/2020,2020,,Société de transport de Montréal (STM) (public transport agency),Canada,,,,Transportation Systems,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/montreals-stm-public-transport-system-hit-by-ransomware-attack/,,
786,10/19/2020,2020,,West End Medical Center,GA,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://healthitsecurity.com/news/ransomware-attack-hits-dickinson-county-health-spurs-ehr-downtime; https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Date listed is when Conti leaked data; data was taken down after a short period of time
787,10/19/2020,2020,,DeRoyal Industries,TN,,,,Critical Manufacturing,Healthcare and Public Health,,,,,,,,,,,https://www.knoxnews.com/story/news/crime/2020/10/27/deroyal-industries-tennessee-ransomware-attack/3754629001/,,
788,10/19/2020,2020,,Enel Group,Global,,,,Energy,,NetWalker,S0457,,,1234 bitcoin,$14 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/enel-group-hit-by-ransomware-again-netwalker-demands-14-million/,,
789,10/20/2020,2020,,Sopra Steria,France,,,,Information Technology,,Ryuk,S0446,,,,,,,,,https://www.bleepingcomputer.com/news/security/french-it-giant-sopra-steria-hit-by-ryuk-ransomware/,,
790,10/21/2020,2020,,Riverside Community Care,MA,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://healthitsecurity.com/news/ransomware-hacking-groups-steal-leak-data-from-3-more-providers,,Date listed is when Conti leaked data
791,10/21/2020,2020,,Press Trust of India (PTI),India,,,,Communications,,LockBit,,several hours,1 day or less,,,,No,N/A,N/A,https://www.devdiscourse.com/article/technology/1273986-pti-services-disrupted-after-massive-ransomware-attack-on-servers,,
792,10/21/2020,2020,,X-Cart,Global,,,,Financial Services,Information Technology,,,several days,1 week or less,,,,No,N/A,N/A,https://portswigger.net/daily-swig/x-cart-customers-recovering-from-ransomware-attack-that-led-to-widespread-e-commerce-site-outages; https://www.zdnet.com/article/ransomware-hits-e-commerce-platform-x-cart/,,
793,10/22/2020,2020,,Steelcase Inc.,Global,,,,Critical Manufacturing,,Ryuk,S0446,two weeks,1 month or less,,,,,,,https://www.bleepingcomputer.com/news/security/steelcase-furniture-giant-hit-by-ryuk-ransomware-attack/; https://siliconangle.com/2020/11/12/furniture-maker-steelcase-shut-two-weeks-following-ransomware-attack/,,
794,10/22/2020,2020,,Mithaas (restaurant chain),India,,,,Food and Agriculture,,,,,,,,,,,,https://www.outlookindia.com/newsscroll/ransomware-attack-on-restaurant-chain-mithaas-probe-on/1964442,,
795,10/24/2020,2020,,Online storage vendor of Harvard Eye Associates,CA,,,,Healthcare and Public Health,,,,,,,,,Yes,,,https://healthitsecurity.com/news/hospital-recovers-from-ransomware-vendor-incidents-hit-kroeger-provider,,
796,10/25/2020,2020,,Serco,Europe,,,,Healthcare and Public Health,,Babuk,,,,,,,,,,https://www.computerweekly.com/news/252495684/Serco-confirms-Babuk-ransomware-attack,,UK’s COVID-19 Test and Trace system not affected by the attack
797,10/27/2020,2020,,Sky Lakes Medical Center,OR,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.kdrv.com/content/news/Sky-Lakes-Medical-Center-targeted-in-ransomware-attack-572890331.html; https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
798,10/27/2020,2020,,"St. Lawrence Health System Hospitals (Canton-Potsdam, Gouverneur, and Massena)",NY,,,,Healthcare and Public Health,,Ryuk,S0446,,,,,,,,,https://www.nny360.com/news/stlawrencecounty/update-three-st-lawrence-county-hospitals-hit-by-ransomware-attack-tuesday/article_01778d25-333e-567b-8e03-6581fa571a37.html,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
799,10/27/2020,2020,,Isentia,Australia,,,,Communications,,,,,,,,,,,,https://www.infosecurity-magazine.com/news/isentia-reeling-after-suspected/,,Date is when the firm announced the attack to the public
800,10/28/2020,2020,,University of Vermont (UVM) Health Network,VT,,,,Healthcare and Public Health,,Ryuk,S0446,1 month,1 month or less,,,,No,N/A,N/A,https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292; https://www.democratandchronicle.com/story/news/2020/10/30/rochester-health-systems-step-up-cyber-security-amid-ransomware-attacks/6086925002/; https://healthitsecurity.com/news/uvm-health-brings-ehr-back-online-one-month-after-ransomware-attack; https://vtdigger.org/2020/12/22/ransomware-downed-uvm-medical-center-systems-but-no-payment-made/,"There is talk about a list of 400 U.S. hospitals being targeted by Ryuk, which this may be part of",
801,10/28/2020,2020,,Chatham County Government,NC,,,,Government Facilities,Healthcare and Public Health,DoppelPaymer,,,More than 1 month,50 bitcoin,$2.4 million,$5000000 or less,No,N/A,N/A,https://www.beckershospitalreview.com/cybersecurity/ransomware-group-posts-stolen-north-carolina-county-health-data-online.html; https://www.bellinghamherald.com/news/business/article249285895.html,,Originated from phishing email with malicious attachment
802,11/1/2020,2020,,Campari Group,Italy,,,,Food and Agriculture,,Ragnar Locker,,,,,,,,,,https://www.infosecurity-magazine.com/news/campari-group-rocks-after/,,
803,11/1/2020,2020,Nov-20,Banijay Group SAS,France,,,,Communications,,DoppelPaymer,,,,,,,,,,https://www.bleepingcomputer.com/news/security/masterchef-big-brother-producer-hit-by-doppelpaymer-ransomware/,,
804,11/1/2020,2020,Nov-20,Colliers International Group,Canada,,,,Commercial Facilities,,Netflim,,,,,,,,,,https://www.insurancebusinessmag.com/ca/news/cyber/colliers-international-group-gets-slammed-by-cyberattack-244294.aspx,,
805,11/3/2020,2020,,Brazil’s Superior Tribunal de Justiça (Court System),Brazil,,,,Government Facilities,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/brazils-court-system-under-massive-ransomexx-ransomware-attack/,,
806,11/8/2020,2020,,Compal,Taiwan,,,,Critical Manufacturing,Information Technology,DoppelPaymer,,,,1100 bitcoin,"$16,725,500",More than $5000000,,,,https://www.bleepingcomputer.com/news/security/laptop-maker-compal-hit-by-ransomware-17-million-demanded/,,Deputy manager director denies ransomware attack
807,11/13/2020,2020,,Cencosud,Chile,,,,Commercial Facilities,,Egregor,,,,,,,,,,https://www.bleepingcomputer.com/news/security/retail-giant-cencosud-hit-by-egregor-ransomware-attack-stores-impacted/,,
808,11/15/2020,2020,Middle of November 2020,K12 (AKA Stride Inc),USA,,,,Education Facilities Subsector,,Ryuk,S0446,,,,,,Yes,,,https://www.bleepingcomputer.com/news/security/k12-online-schooling-giant-pays-ryuk-ransomware-to-stop-data-leak/,,
809,11/16/2020,2020,,"Managed[.]com (Web Hosting Provider for Columbus County, NC, Griffin Hospital in CT, Arizona Judicial Branch, and Jackson County, OR, among others)",USA,,,,Information Technology,Government Facilities,Revil/sodinokibi,S0496,,,,,,,,,https://statescoop.com/local-governments-forced-offline-after-ransomware-targets-web-host/; https://www.wect.com/2020/11/18/ransomware-attack-brings-columbus-countys-website-down/; https://www.infosecurity-magazine.com/news/oregon-county-hit-by-ransomware/; https://www.thehour.com/business/article/Derby-s-Griffin-Hospital-website-taken-down-in-15739406.php?src=nwkhpbiz; https://www.azcentral.com/story/news/local/arizona/2020/11/19/arizona-judicial-branch-website-affected-ransomware-attack-provider/6346851002/,,resulted in email/website being down
810,11/16/2020,2020,,Americold,Global,,,,Critical Manufacturing,Food and Agriculture,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/cold-storage-giant-americold-hit-by-cyberattack-services-impacted/,,
811,11/17/2020,2020,,Paris-Normandie (french newspaper),France,,,,Communications,,,,,,,,,,,,https://www.govinfosecurity.com/from-st-louis-to-france-ransomware-victim-list-expands-a-15436,,
812,11/17/2020,2020,,Housing Authority of McDonough County,IL,,,,Government Facilities,,,,,,,,,,,,https://www.mcdonoughvoice.com/story/news/2020/12/02/mcdonough-county-housing-authority-experiences-ransomware-data-breach/3792999001/,,
813,11/17/2020,2020,,Hampton Roads Sanitation District,VA,,,,Water and Wastewater Systems,,,,,,,,,,,,https://www.hrsd.com/news-release-november-19-2020,,
814,11/19/2020,2020,,Oglethorp County School System,Georgia,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.govinfosecurity.com/from-st-louis-to-france-ransomware-victim-list-expands-a-15436,,Classes cancelled for the rest of the week
815,11/21/2020,2020,,Advantech,Taiwan,,,,Information Technology,,Conti,S0575,,,750 bitcoin,"$13,000,000",More than $5000000,,,,https://usaherald.com/advantech-hit-with-conti-ransomware-hackers-demand-13m-in-double-extortion-demand/,,
816,11/22/2020,2020,,E-Land Retailer,South Korea,,,,Commercial Facilities,,Clop,,,,,,,,,,https://www.koreatimes.co.kr/www/tech/2020/11/694_299692.html; https://www.bleepingcomputer.com/news/security/ransomware-gang-says-they-stole-2-million-credit-cards-from-e-land/,,Had to suspend operations in half of their stores
817,11/23/2020,2020,,Rand McNally,IL,,,,Transportation Systems,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/truck-routing-provider-rand-mcnally-hit-by-cyberattack/,,
818,11/24/2020,2020,,Ritzau,Denmark,,,,Communications,,,,,,,,,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/danish-news-agency-ritzau-refuses-to-pay-after-ransomware-attack/,,
819,11/24/2020,2020,,Baltimore County Public Schools (BCPS) ,MD,,,,Education Facilities Subsector,,Ryuk,S0446,,,,,,,,,https://www.infosecurity-magazine.com/news/ransomware-attack-on-baltimore/,,Schools had to close for at least a day
820,11/24/2020,2020,,Netgain,Global,,,,Information Technology,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-forces-hosting-provider-netgain-to-take-down-data-centers/,,
821,11/25/2020,2020,,Embraer,Brazil,,,,Critical Manufacturing,,,,,,,,,,,,https://www.infosecurity-magazine.com/news/aerospace-giant-embraer-hit/,,
822,11/28/2020,2020,,Delaware County,PA,,,,Government Facilities,,DoppelPaymer,,,,,"$500,000",$1000000 or less,Yes,,"$500,000",https://www.bleepingcomputer.com/news/security/pennsylvania-county-pays-500k-ransom-to-doppelpaymer-ransomware/,,
823,11/29/2020,2020,,Foxconn,Mexico,,,,Critical Manufacturing,,DoppelPaymer,,,,1804.0955 bitcoin,"$34,686,000",More than $5000000,,,Haberdashers’ Monmouth Schools,https://www.bleepingcomputer.com/news/security/foxconn-electronics-giant-hit-by-ransomware-34-million-ransom/,,
824,11/30/2020,2020,,Huntsville City Schools,AL,,,,education Facilities Subsector,,,,,,,,,,,,https://www.waaytv.com/content/news/Huntsville-City-Schools-cancels-classes-Tuesday-due-to-ransomware-threat--573241121.html,,Resulted in cancelled classes
825,11/30/2020,2020,End of Nov 2020,Kopter,Switzerland,,,,Critical Manufacturing,,LockBit,,,,,,,No,N/A,N/A,https://www.zdnet.com/article/ransomware-hits-helicopter-maker-kopter/,,
826,12/1/2020,2020,Dec-20,TransLink (Metro Vancouver transit system),Canada,,,,Transportation Systems,,Egregor,,,,,,,No,N/A,N/A,https://globalnews.ca/news/7499986/translink-suspicious-network-activity-update/,,
827,12/1/2020,2020,Dec-20,Kmart,USA,,,,Commercial Facilities,,Egregor,,,,,,,,,,https://www.bleepingcomputer.com/news/security/kmart-nationwide-retailer-suffers-a-ransomware-attack/,,Back end services impacted
828,12/1/2020,2020,Dec-20,CSAT Solutions,Global,,,,Information Technology,,Netwalker,S0457,,,,,,,,,https://appleinsider.com/articles/20/12/08/ransomware-attack-on-apple-repair-partner-causing-delayed-repairs-lost-products,,
829,12/1/2020,2020,Dec-2020,Transform Hospital Group LTD,UK,,,,Healthcare and Public Health,,Revil/sodinokibi,S0496,,,,,,,,,https://siliconangle.com/2020/12/24/uk-cosmetic-surgery-provider-hit-ransomware-customer-data-stolen/,,
830,12/1/2020,2020,Dec-20,City of Ellensburg,WA,,,,Government Facilities,,,,,,,,,,,,https://www.yaktrinews.com/city-of-ellensburg-is-the-victim-of-a-ransomware-cyberattack/,,
831,12/1/2020,2020,Dec-20,Whirlpool,Global,,,,Critical Manufacturing,,Nefilim,,,,,,,,,,https://www.bleepingcomputer.com/news/security/home-appliance-giant-whirlpool-hit-in-nefilim-ransomware-attack/,,
832,12/4/2020,2020,,Ubiqus Group (Contractor to NYC Department of Education),NY,,,,Education Facilities Subsector,Government Facilities,,,,,,,,,,,https://nypost.com/2021/01/02/cyberattack-cripples-nyc-does-teacher-disciplinary-system/,,
833,12/5/2020,2020,,Texarkana Metropolitan Area,"TX, AR",,,,Government Facilities,,,,,,,,,,,,https://www.ksla.com/2020/12/07/ransomware-cripples-municipal-computers-texarkana/,,
834,12/6/2020,2020,,Greater Baltimore Medical Center,MD,,,,Healthcare and Public Health,,,,,,,,,,,,https://baltimore.cbslocal.com/2020/12/07/computer-systems-down-at-greater-baltimore-medical-center-due-to-ransomware-incident/,,
835,12/7/2020,2020,,City of Independence,MO,,,,Government Facilities,,,,,,,,,,,,https://www.kmbc.com/article/city-of-independence-dealing-with-ransomware-attack-on-city-technology/34893170,,
836,12/8/2020,2020,,Total System Services Inc. (TSYS),Global,,,,Financial Services,,Conti,S0575,,,,,,,,,https://securityboulevard.com/2020/12/payment-processing-giant-tsys-ransomware-incident-immaterial-to-company/,,
837,12/12/2020,2020,,Nygard International,Canada,,,,Commercial Facilities,,Netwalker,S0457,,,1098 bitcoins,"$7,200,000",More than $5000000,No,N/A,N/A,https://www.cbc.ca/news/canada/manitoba/peter-nygard-bail-ransomware-attack-1.5859131,,
838,12/13/2020,2020,,Habana Labs,Israel,,,,Information Technology,,Pay2Key,,,,,,,,,,https://www.bleepingcomputer.com/news/security/intels-habana-labs-hacked-by-pay2key-ransomware-data-stolen/,,
839,12/13/2020,2020,,Symrise AG,Germany,,,,Food and Agriculture,,Clop,,,,,,,,,,https://www.bleepingcomputer.com/news/security/flavors-designer-symrise-halts-production-after-clop-ransomware-attack/,,
840,12/14/2020,2020,,Inchcape,Australia,,,,Commercial Facilities,,RansomExx/defray,,,,,,,,,,https://www.itwire.com/security/auto-services-firm-inchcape-hit-by-windows-ransomexx-ransomware.html,,
841,12/15/2020,2020,,Forward Air Corp,TN,,,,Transportation Systems,,Hades,,,,,,,,,,https://www.freightwaves.com/news/news-alert-forward-air-reveals-ransomware-attack-warns-of-revenue-hit; https://www.securityweek.com/trucking-giant-says-ransomware-attack-had-75m-impact,,Resulted in financial loss of $7.5 million
842,12/16/2020,2020,,Jefferson County Property Valuation Administrators Office (PVA),KY,,,,Government Facilities,,,,,,,,,No,N/A,N/A,https://www.wdrb.com/news/business/jefferson-county-pva-office-hit-by-ransomware-attack/article_fdeb5286-43d0-11eb-81f1-770245866a54.html,,
843,12/20/2020,2020,,Hurtigruten (Norwegian Cruise Company),Global ,,,,Transportation Systems,,,,,,,,,,,,https://thedigitalhacker.com/hurtigruten-the-well-known-norwegian-cruise-company-hit-by-cyberattack/,,
844,12/21/2020,2020,,Leon Medical Centers,FL,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://www.scmagazine.com/home/security-news/ransomware/conti-ransomware-gang-tied-to-latest-attacks-on-hospitals-in-florida-and-texas/,,"""Conti gang reportedly sent malicious phishing emails to Leon Medical in September 2020 and used a Microsoft Server Message Block vulnerability (CVE-2020-0796) to access an admin account. From there, the attackers used the well-known tools BloodHound and Mimikatz to dive deeper into victim networks."""
845,12/22/2020,2020,,Lake Region Healthcare,MN,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.duluthnewstribune.com/newsmd/health-news/6823429-Fergus-Falls-health-systems-computer-network-disrupted-after-ransomware-attack,,
846,12/23/2020,2020,,Sangoma Technologies Corporation,Canada,,,,Communications,,Conti,S0575,,,,,,,,,https://www.bleepingcomputer.com/news/security/freepbx-developer-sangoma-hit-with-conti-ransomware-attack/,,
847,12/23/2020,2020,,OmniTRAX,USA,,,,Transportation Systems,,,,,,,,,No,N/A,N/A,https://www.freightwaves.com/news/ransomware-attack-hits-short-line-rail-operator-omnitrax,,
848,12/25/2020,2020,,Scottish Environment Protection Agency,Scotland,,,,Government Facilities,Healthcare and Public Health,Conti,S0575,Ongoing as of 4/6/2021,More than 1 month,,,,No,N/A,N/A,https://www.bankinfosecurity.com/ransomware-disrupts-scottish-environment-protection-agency-a-15768; https://www.bankinfosecurity.com/ransomware-cleanup-costs-scottish-agency-11-million-a-16344,,
849,12/26/2020,2020,,City of Cornelia,GA,,,,Government Facilities,Water and Wastewater Systems,,,,,,,,,,,https://nowhabersham.com/cornelia-hit-by-ransomware-attack/,,
850,12/29/2020,2020,,Antwerp General Medical Laboratory (AML),Belgium,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.brusselstimes.com/news/belgium-all-news/147433/antwerp-laboratory-becomes-latest-victim-of-cyber-attack/,,
851,1/1/2021,2021,Jan-21,Wentworth Golf Club,UK,,,,Commercial Facilities,,,,,,,,,,,,https://grahamcluley.com/wentworth-golf-club-hacked/,,
852,1/1/2021,2021,Jan-21,DSC Logistics,IL,,,,Transportation Systems,Food and Agriculture,,,,,,,,,,,https://www.freightwaves.com/news/ransomware-attack-targets-major-us-logistics-firm-dsc,,
853,1/1/2021,2021,January 2021,Accellion clients,Global,,,,Information Technology,,,,,,,,,,,,https://www.wired.com/story/accellion-breach-victims-extortion/,,Data breach that led to several extortion attempts against clients 
854,1/1/2021,2021,2021,Unnamed manufacturing facilities,Italy,,,,Critical Manufacturing,,Cring,,,,,,,,,,https://www.cyberscoop.com/ransomware-industrial-europe-kaspersky-cring/,,
855,1/5/2021,2021,,Granite Wellness Centers,CA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/15-600-patients-health-info-exposed-in-ransomware-attack-on-california-health-center.html,,
856,1/13/2021,2021,,Cochise Eye and Laser,AZ,,,,Healthcare and Public Health,,,,Months,More than 1 month,,,,,,,https://healthitsecurity.com/news/100k-patients-impacted-by-cochise-eye-and-laser-ransomware-attack,,
857,1/14/2021,2021,,Dairy Farm Group,Asia,,,,Food and Agriculture,,Revil/sodinokibi,S0496,,,,"$30,000,000",More than $5000000,,,,https://www.bleepingcomputer.com/news/security/pan-asian-retail-giant-dairy-farm-suffers-revil-ransomware-attack/,,
858,1/16/2021,2021,,City of Montmagne,Canada,,,,Government Facilities,,,,,,,,,,,,https://presstories.com/2021/01/23/cyber-%E2%80%8B%E2%80%8Battack-ransomware-victim-montmagne-city/,,
859,1/17/2021,2021,,FatFace,UK,,,,Commercial Facilities,,Conti,S0575,,,213 bitcoin,$8 million,More than $5000000,Yes,,$2.65  million,https://www.computerweekly.com/news/252498463/Retailer-FatFace-pays-2m-ransom-to-Conti-cyber-criminals,,
860,1/23/2021,2021,,WestRock Company,GA,,,,Critical Manufacturing,,,,,,,,,,,,http://scid.infracritical.com/pages/scid-00112/,,
861,1/23/2021,2021,,Georgetown County,SC,,,,Government Facilities,,,,,More than 1 month,,,,No,N/A,N/A,https://coastalobserver.com/restoration-of-computer-system-continues-after-ransomware-found/; https://www.wmbfnews.com/2021/02/19/email-back-up-about-half-georgetown-county-staff-following-ransomware-attack/,,
862,1/23/2021,2021,,Unnamed trucking and logistics company,USA,,,,Transportation Systems,,,,A few days,1 week or less,,"$300,000",$1000000 or less,No,N/A,N/A,https://www.freightwaves.com/news/inside-a-ransomware-attack-on-a-small-trucking-company,,
863,1/27/2021,2021,,Crisp Regional Health Services,GA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-temporarily-shuts-down-georgia-hospital-s-phone-lines-computer-systems.html,,
864,1/27/2021,2021,,Personal Touch Holding Corp.,USA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/ransomware-attack-affects-750-000-personal-touch-patients-employees-across-u-s.html,,"Article labels it as ransomware, but does only describes it as a data breach"
865,1/30/2021,2021,,Victor Central School District,NY,,,,Education Facilities Subsector,,,,,1 month or less,,,,,,,https://www.rochesterfirst.com/news/education/parents-happy-with-victor-school-response-after-ransomware-attack-saturday/,,
